Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Nemo;0;0;0;0;0;11;19;22;23;26;22;21;21;24;18;0
Neo;0;0;15;27;33;93;137;194;224;259;248;280;304;281;222;182
Nicholas;24;22;22;34;29;26;31;23;28;23;31;26;25;25;32;30
Nick;22;10;11;0;12;15;10;16;12;15;0;18;10;17;10;0
Nicklas;53;47;32;22;27;19;18;18;18;12;11;0;12;0;0;0
Niclas;64;55;49;45;41;25;21;13;12;10;0;0;0;0;0;0
Nico;0;0;0;0;0;10;0;0;10;16;18;11;13;19;10;10
Nicolai;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;10
Nicolas;12;19;28;29;20;21;22;32;35;29;34;31;42;40;49;32
Niklas;247;190;132;133;87;81;69;52;40;52;36;22;33;15;18;20
Nikola;20;19;23;18;0;10;21;21;20;17;21;22;16;22;19;16
Nikolai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Nikolaj;0;0;0;0;0;0;15;0;11;11;0;0;13;14;12;0
Nikolas;0;0;0;0;0;0;0;0;0;0;0;0;10;0;17;0
Nilas;0;0;0;0;0;0;11;0;0;0;0;18;16;14;12;16
Nilo;0;0;0;0;0;0;0;0;0;0;0;0;16;16;14;25
Nils;143;173;197;212;237;263;255;288;308;346;362;391;427;480;467;488
Nima;0;10;0;0;11;0;0;0;0;0;0;0;0;0;0;0
Nino;0;0;0;0;0;10;0;10;11;17;10;15;14;10;0;0
Noa;16;39;44;43;62;65;55;64;61;70;62;67;82;47;75;45
Noah;54;100;148;181;236;275;321;364;441;459;516;418;469;402;455;440
Noak;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
Noam;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0
Noel;27;23;55;78;151;252;273;283;265;360;302;352;410;321;331;281
Nore;0;0;0;0;0;0;0;0;10;0;10;0;0;0;11;0
Norton;0;0;0;0;0;0;13;0;0;12;16;0;11;0;0;0
Odd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;19
Odin;0;0;0;0;0;0;0;0;12;0;11;0;13;10;15;19
Ola;31;13;13;12;18;14;0;10;18;11;0;0;10;11;0;11
Oliver;476;476;494;559;647;633;627;653;601;649;669;684;725;669;596;708
Oliwer;40;38;44;60;69;67;57;63;77;74;73;76;67;70;82;76
Olivier;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10
Olle;172;174;186;202;276;337;355;395;432;447;421;434;464;602;588;578
Olliver;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olof;76;65;53;79;80;75;85;77;75;84;72;87;70;83;52;66
Olov;0;10;0;0;0;0;10;0;0;0;0;0;0;0;10;0
Omar;46;39;42;40;24;37;36;37;49;59;57;49;61;60;67;91
Omer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Oscar;639;699;590;604;650;572;624;633;636;578;584;613;669;547;570;545
Oskar;545;640;545;492;507;479;522;523;521;418;478;396;437;408;346;355
Osman;10;0;0;0;12;0;0;0;0;0;11;0;14;0;10;0
Ossian;16;23;26;24;33;45;48;48;47;85;63;81;104;84;88;88
Otis;0;0;0;0;0;0;0;0;0;10;18;26;27;33;45;36
Otto;52;48;68;62;65;99;100;115;116;129;152;149;144;141;170;145
Owen;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Ozzy;0;0;0;0;0;0;0;0;0;0;0;15;12;16;11;12
Pascal;0;0;0;0;0;11;0;0;0;0;0;0;0;0;12;0
Patric;26;14;16;12;0;0;0;0;0;0;0;0;0;0;0;0
Patrick;19;12;15;21;20;10;15;10;0;12;14;0;10;0;0;0
Patrik;124;93;84;71;74;55;49;42;29;28;25;20;20;16;15;16
Paul;26;18;20;14;16;17;22;11;10;19;16;14;15;12;13;15
Pelle;27;26;24;21;38;42;35;44;50;50;46;49;63;68;57;60
Per;59;54;38;33;42;41;24;24;21;23;15;25;15;21;10;11
Peter;54;52;42;40;41;34;21;24;23;33;21;20;19;14;14;14
Petrus;10;0;13;10;16;0;10;0;0;0;0;0;0;0;0;0
Petter;92;84;96;84;83;67;61;55;46;47;46;46;38;38;33;32
